LMK_KEY,IMPROVEMENT_ITEM,IMPROVEMENT_SUMMARY_TEXT,IMPROVEMENT_DESCR_TEXT,IMPROVEMENT_ID,IMPROVEMENT_ID_TEXT,INDICATIVE_COST
219ebed1dbe38458bed0e7c2a640bb35d275226a6798ff7dbfeadb9a31534adb,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
21bc28b38cc6bc834d58ae73c67c165cfb946f94c09d4dd7e978d023f2cba6be,1,Cavity wall insulation,Cavity wall insulation,6,,"£500 - £1,500"
21bc28b38cc6bc834d58ae73c67c165cfb946f94c09d4dd7e978d023f2cba6be,2,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
21dd396d97c68650d6470a70e3ecf995d7b70f42ffad539dc742933d12b05f6d,1,Cavity wall insulation,Cavity wall insulation,6,,"£500 - £1,500"
21dd396d97c68650d6470a70e3ecf995d7b70f42ffad539dc742933d12b05f6d,2,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
22320c337c3bdce04369672dc8b9ff728986535a616087b68c18dc1a5060025e,1,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
2236ba870d093796f5b3a8cc86485aee7bda9fe906b4779cdde7061c4d26ac74,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
2295ac87e233a4918b8d1e2e128fe1ac2a9029ace6870cc13a13d36de38e3e6a,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
23462dadbf1bcd8d559fe2c8e0fe682a1941d5477331b8c36b8603eb58aa5327,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
23462dadbf1bcd8d559fe2c8e0fe682a1941d5477331b8c36b8603eb58aa5327,2,Floor insulation (suspended floor),Floor insulation (suspended floor),57,,"£800 - £1,200"
23d2a624729b14ed20e956630f0644e182688f0901376579f9a469f1d26504b5,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
23e57e79ce1ee855dcd1fb592923469308585fcd4f2ff74b6a87c43817f8fcdf,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
24086a60d8807dc1b6b31bbd63db1dd40f60850d955ab3afc64d25010a5f89a6,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
2415e80903291811a49bf5d24891e8c0856311cc0c8ac4a319436ae043f7d22f,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
2415e80903291811a49bf5d24891e8c0856311cc0c8ac4a319436ae043f7d22f,2,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
24787549743070c195c56ca724450cc3d6b07d0c2af9324debb569033f390bde,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
248fc80bb3c78140887fc7d79289e7f731d1837d5abb419b0ebed20834107f97,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
248fc80bb3c78140887fc7d79289e7f731d1837d5abb419b0ebed20834107f97,2,Floor insulation (suspended floor),Floor insulation (suspended floor),57,,"£800 - £1,200"
248fc80bb3c78140887fc7d79289e7f731d1837d5abb419b0ebed20834107f97,3,High performance external doors,High performance external doors,48,,"£1,000"
249311ac5e808ee07c1f36e60d13cd10d466cb55cfe04c1d1940fa8605b21a83,1,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
24960b185b53688b87bac840248f3471b60fe63a0ae57606ae4b7d6f7ddad122,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
24b4b350d9172ceade06d10e6b7b3489acd2344ff3c12007a90a819c16154650,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
24e4e6045b2d8dd7c84c53fa4cff055443af7b5022e64c401766e7129cf00e70,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
24e51694cdc53e3d81dcf738d7efcdea841a7727de90bdfff44a0159432ccd7d,1,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
2536d1c3422db33d0bdcfbd07842de3a18b9382df93eceb2aca109541dc5588e,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
25bd8c69677feb835d0d5d3ad1e52ba98b85e8b62fd9d6c0bf5562c83396565f,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
25c13b1acd4c4a26da3f8dab7d68bd0928dfb5fd7413fe7efe7f056a5f5dc65f,1,Cavity wall insulation,Cavity wall insulation,6,,"£500 - £1,500"
